DATE,USREC
1865-05-01,1
1865-06-01,1
1865-07-01,1
1865-08-01,1
1865-09-01,1
1865-10-01,1
1865-11-01,1
1865-12-01,1
1866-01-01,1
1866-02-01,1
1866-03-01,1
1866-04-01,1
1866-05-01,1
1866-06-01,1
1866-07-01,1
1866-08-01,1
1866-09-01,1
1866-10-01,1
1866-11-01,1
1866-12-01,1
1867-01-01,1
1867-02-01,1
1867-03-01,1
1867-04-01,1
1867-05-01,1
1867-06-01,1
1867-07-01,1
1867-08-01,1
1867-09-01,1
1867-10-01,1
1867-11-01,1
1867-12-01,1
1868-01-01,0
1868-02-01,0
1868-03-01,0
1868-04-01,0
1868-05-01,0
1868-06-01,0
1868-07-01,0
1868-08-01,0
1868-09-01,0
1868-10-01,0
1868-11-01,0
1868-12-01,0
1869-01-01,0
1869-02-01,0
1869-03-01,0
1869-04-01,0
1869-05-01,0
1869-06-01,0
1869-07-01,1
1869-08-01,1
1869-09-01,1
1869-10-01,1
1869-11-01,1
1869-12-01,1
1870-01-01,1
1870-02-01,1
1870-03-01,1
1870-04-01,1
1870-05-01,1
1870-06-01,1
1870-07-01,1
1870-08-01,1
1870-09-01,1
1870-10-01,1
1870-11-01,1
1870-12-01,1
1871-01-01,0
1871-02-01,0
1871-03-01,0
1871-04-01,0
1871-05-01,0
1871-06-01,0
1871-07-01,0
1871-08-01,0
1871-09-01,0
1871-10-01,0
1871-11-01,0
1871-12-01,0
1872-01-01,0
1872-02-01,0
1872-03-01,0
1872-04-01,0
1872-05-01,0
1872-06-01,0
1872-07-01,0
1872-08-01,0
1872-09-01,0
1872-10-01,0
1872-11-01,0
1872-12-01,0
1873-01-01,0
1873-02-01,0
1873-03-01,0
1873-04-01,0
1873-05-01,0
1873-06-01,0
1873-07-01,0
1873-08-01,0
1873-09-01,0
1873-10-01,0
1873-11-01,1
1873-12-01,1
1874-01-01,1
1874-02-01,1
1874-03-01,1
1874-04-01,1
1874-05-01,1
1874-06-01,1
1874-07-01,1
1874-08-01,1
1874-09-01,1
1874-10-01,1
1874-11-01,1
1874-12-01,1
1875-01-01,1
1875-02-01,1
1875-03-01,1
1875-04-01,1
1875-05-01,1
1875-06-01,1
1875-07-01,1
1875-08-01,1
1875-09-01,1
1875-10-01,1
1875-11-01,1
1875-12-01,1
1876-01-01,1
1876-02-01,1
1876-03-01,1
1876-04-01,1
1876-05-01,1
1876-06-01,1
1876-07-01,1
1876-08-01,1
1876-09-01,1
1876-10-01,1
1876-11-01,1
1876-12-01,1
1877-01-01,1
1877-02-01,1
1877-03-01,1
1877-04-01,1
1877-05-01,1
1877-06-01,1
1877-07-01,1
1877-08-01,1
1877-09-01,1
1877-10-01,1
1877-11-01,1
1877-12-01,1
1878-01-01,1
1878-02-01,1
1878-03-01,1
1878-04-01,1
1878-05-01,1
1878-06-01,1
1878-07-01,1
1878-08-01,1
1878-09-01,1
1878-10-01,1
1878-11-01,1
1878-12-01,1
1879-01-01,1
1879-02-01,1
1879-03-01,1
1879-04-01,0
1879-05-01,0
1879-06-01,0
1879-07-01,0
1879-08-01,0
1879-09-01,0
1879-10-01,0
1879-11-01,0
1879-12-01,0
1880-01-01,0
1880-02-01,0
1880-03-01,0
1880-04-01,0
1880-05-01,0
1880-06-01,0
1880-07-01,0
1880-08-01,0
1880-09-01,0
1880-10-01,0
1880-11-01,0
1880-12-01,0
1881-01-01,0
1881-02-01,0
1881-03-01,0
1881-04-01,0
1881-05-01,0
1881-06-01,0
1881-07-01,0
1881-08-01,0
1881-09-01,0
1881-10-01,0
1881-11-01,0
1881-12-01,0
1882-01-01,0
1882-02-01,0
1882-03-01,0
1882-04-01,1
1882-05-01,1
1882-06-01,1
1882-07-01,1
1882-08-01,1
1882-09-01,1
1882-10-01,1
1882-11-01,1
1882-12-01,1
1883-01-01,1
1883-02-01,1
1883-03-01,1
1883-04-01,1
1883-05-01,1
1883-06-01,1
1883-07-01,1
1883-08-01,1
1883-09-01,1
1883-10-01,1
1883-11-01,1
1883-12-01,1
1884-01-01,1
1884-02-01,1
1884-03-01,1
1884-04-01,1
1884-05-01,1
1884-06-01,1
1884-07-01,1
1884-08-01,1
1884-09-01,1
1884-10-01,1
1884-11-01,1
1884-12-01,1
1885-01-01,1
1885-02-01,1
1885-03-01,1
1885-04-01,1
1885-05-01,1
1885-06-01,0
1885-07-01,0
1885-08-01,0
1885-09-01,0
1885-10-01,0
1885-11-01,0
1885-12-01,0
1886-01-01,0
1886-02-01,0
1886-03-01,0
1886-04-01,0
1886-05-01,0
1886-06-01,0
1886-07-01,0
1886-08-01,0
1886-09-01,0
1886-10-01,0
1886-11-01,0
1886-12-01,0
1887-01-01,0
1887-02-01,0
1887-03-01,0
1887-04-01,1
1887-05-01,1
1887-06-01,1
1887-07-01,1
1887-08-01,1
1887-09-01,1
1887-10-01,1
1887-11-01,1
1887-12-01,1
1888-01-01,1
1888-02-01,1
1888-03-01,1
1888-04-01,1
1888-05-01,0
1888-06-01,0
1888-07-01,0
1888-08-01,0
1888-09-01,0
1888-10-01,0
1888-11-01,0
1888-12-01,0
1889-01-01,0
1889-02-01,0
1889-03-01,0
1889-04-01,0
1889-05-01,0
1889-06-01,0
1889-07-01,0
1889-08-01,0
1889-09-01,0
1889-10-01,0
1889-11-01,0
1889-12-01,0
1890-01-01,0
1890-02-01,0
1890-03-01,0
1890-04-01,0
1890-05-01,0
1890-06-01,0
1890-07-01,0
1890-08-01,1
1890-09-01,1
1890-10-01,1
1890-11-01,1
1890-12-01,1
1891-01-01,1
1891-02-01,1
1891-03-01,1
1891-04-01,1
1891-05-01,1
1891-06-01,0
1891-07-01,0
1891-08-01,0
1891-09-01,0
1891-10-01,0
1891-11-01,0
1891-12-01,0
1892-01-01,0
1892-02-01,0
1892-03-01,0
1892-04-01,0
1892-05-01,0
1892-06-01,0
1892-07-01,0
1892-08-01,0
1892-09-01,0
1892-10-01,0
1892-11-01,0
1892-12-01,0
1893-01-01,0
1893-02-01,1
1893-03-01,1
1893-04-01,1
1893-05-01,1
1893-06-01,1
1893-07-01,1
1893-08-01,1
1893-09-01,1
1893-10-01,1
1893-11-01,1
1893-12-01,1
1894-01-01,1
1894-02-01,1
1894-03-01,1
1894-04-01,1
1894-05-01,1
1894-06-01,1
1894-07-01,0
1894-08-01,0
1894-09-01,0
1894-10-01,0
1894-11-01,0
1894-12-01,0
1895-01-01,0
1895-02-01,0
1895-03-01,0
1895-04-01,0
1895-05-01,0
1895-06-01,0
1895-07-01,0
1895-08-01,0
1895-09-01,0
1895-10-01,0
1895-11-01,0
1895-12-01,0
1896-01-01,1
1896-02-01,1
1896-03-01,1
1896-04-01,1
1896-05-01,1
1896-06-01,1
1896-07-01,1
1896-08-01,1
1896-09-01,1
1896-10-01,1
1896-11-01,1
1896-12-01,1
1897-01-01,1
1897-02-01,1
1897-03-01,1
1897-04-01,1
1897-05-01,1
1897-06-01,1
1897-07-01,0
1897-08-01,0
1897-09-01,0
1897-10-01,0
1897-11-01,0
1897-12-01,0
1898-01-01,0
1898-02-01,0
1898-03-01,0
1898-04-01,0
1898-05-01,0
1898-06-01,0
1898-07-01,0
1898-08-01,0
1898-09-01,0
1898-10-01,0
1898-11-01,0
1898-12-01,0
1899-01-01,0
1899-02-01,0
1899-03-01,0
1899-04-01,0
1899-05-01,0
1899-06-01,0
1899-07-01,1
1899-08-01,1
1899-09-01,1
1899-10-01,1
1899-11-01,1
1899-12-01,1
1900/1/1,1
1900/2/1,1
1900/3/1,1
1900/4/1,1
1900/5/1,1
1900/6/1,1
1900/7/1,1
1900/8/1,1
1900/9/1,1
1900/10/1,1
1900/11/1,1
1900/12/1,1
1901/1/1,0
1901/2/1,0
1901/3/1,0
1901/4/1,0
1901/5/1,0
1901/6/1,0
1901/7/1,0
1901/8/1,0
1901/9/1,0
1901/10/1,0
1901/11/1,0
1901/12/1,0
1902/1/1,0
1902/2/1,0
1902/3/1,0
1902/4/1,0
1902/5/1,0
1902/6/1,0
1902/7/1,0
1902/8/1,0
1902/9/1,0
1902/10/1,1
1902/11/1,1
1902/12/1,1
1903/1/1,1
1903/2/1,1
1903/3/1,1
1903/4/1,1
1903/5/1,1
1903/6/1,1
1903/7/1,1
1903/8/1,1
1903/9/1,1
1903/10/1,1
1903/11/1,1
1903/12/1,1
1904/1/1,1
1904/2/1,1
1904/3/1,1
1904/4/1,1
1904/5/1,1
1904/6/1,1
1904/7/1,1
1904/8/1,1
1904/9/1,0
1904/10/1,0
1904/11/1,0
1904/12/1,0
1905/1/1,0
1905/2/1,0
1905/3/1,0
1905/4/1,0
1905/5/1,0
1905/6/1,0
1905/7/1,0
1905/8/1,0
1905/9/1,0
1905/10/1,0
1905/11/1,0
1905/12/1,0
1906/1/1,0
1906/2/1,0
1906/3/1,0
1906/4/1,0
1906/5/1,0
1906/6/1,0
1906/7/1,0
1906/8/1,0
1906/9/1,0
1906/10/1,0
1906/11/1,0
1906/12/1,0
1907/1/1,0
1907/2/1,0
1907/3/1,0
1907/4/1,0
1907/5/1,0
1907/6/1,1
1907/7/1,1
1907/8/1,1
1907/9/1,1
1907/10/1,1
1907/11/1,1
1907/12/1,1
1908/1/1,1
1908/2/1,1
1908/3/1,1
1908/4/1,1
1908/5/1,1
1908/6/1,1
1908/7/1,0
1908/8/1,0
1908/9/1,0
1908/10/1,0
1908/11/1,0
1908/12/1,0
1909/1/1,0
1909/2/1,0
1909/3/1,0
1909/4/1,0
1909/5/1,0
1909/6/1,0
1909/7/1,0
1909/8/1,0
1909/9/1,0
1909/10/1,0
1909/11/1,0
1909/12/1,0
1910/1/1,0
1910/2/1,1
1910/3/1,1
1910/4/1,1
1910/5/1,1
1910/6/1,1
1910/7/1,1
1910/8/1,1
1910/9/1,1
1910/10/1,1
1910/11/1,1
1910/12/1,1
1911/1/1,1
1911/2/1,1
1911/3/1,1
1911/4/1,1
1911/5/1,1
1911/6/1,1
1911/7/1,1
1911/8/1,1
1911/9/1,1
1911/10/1,1
1911/11/1,1
1911/12/1,1
1912/1/1,1
1912/2/1,0
1912/3/1,0
1912/4/1,0
1912/5/1,0
1912/6/1,0
1912/7/1,0
1912/8/1,0
1912/9/1,0
1912/10/1,0
1912/11/1,0
1912/12/1,0
1913/1/1,0
1913/2/1,1
1913/3/1,1
1913/4/1,1
1913/5/1,1
1913/6/1,1
1913/7/1,1
1913/8/1,1
1913/9/1,1
1913/10/1,1
1913/11/1,1
1913/12/1,1
1914/1/1,1
1914/2/1,1
1914/3/1,1
1914/4/1,1
1914/5/1,1
1914/6/1,1
1914/7/1,1
1914/8/1,1
1914/9/1,1
1914/10/1,1
1914/11/1,1
1914/12/1,1
1915/1/1,0
1915/2/1,0
1915/3/1,0
1915/4/1,0
1915/5/1,0
1915/6/1,0
1915/7/1,0
1915/8/1,0
1915/9/1,0
1915/10/1,0
1915/11/1,0
1915/12/1,0
1916/1/1,0
1916/2/1,0
1916/3/1,0
1916/4/1,0
1916/5/1,0
1916/6/1,0
1916/7/1,0
1916/8/1,0
1916/9/1,0
1916/10/1,0
1916/11/1,0
1916/12/1,0
1917/1/1,0
1917/2/1,0
1917/3/1,0
1917/4/1,0
1917/5/1,0
1917/6/1,0
1917/7/1,0
1917/8/1,0
1917/9/1,0
1917/10/1,0
1917/11/1,0
1917/12/1,0
1918/1/1,0
1918/2/1,0
1918/3/1,0
1918/4/1,0
1918/5/1,0
1918/6/1,0
1918/7/1,0
1918/8/1,0
1918/9/1,1
1918/10/1,1
1918/11/1,1
1918/12/1,1
1919/1/1,1
1919/2/1,1
1919/3/1,1
1919/4/1,0
1919/5/1,0
1919/6/1,0
1919/7/1,0
1919/8/1,0
1919/9/1,0
1919/10/1,0
1919/11/1,0
1919/12/1,0
1920/1/1,0
1920/2/1,1
1920/3/1,1
1920/4/1,1
1920/5/1,1
1920/6/1,1
1920/7/1,1
1920/8/1,1
1920/9/1,1
1920/10/1,1
1920/11/1,1
1920/12/1,1
1921/1/1,1
1921/2/1,1
1921/3/1,1
1921/4/1,1
1921/5/1,1
1921/6/1,1
1921/7/1,1
1921/8/1,0
1921/9/1,0
1921/10/1,0
1921/11/1,0
1921/12/1,0
1922/1/1,0
1922/2/1,0
1922/3/1,0
1922/4/1,0
1922/5/1,0
1922/6/1,0
1922/7/1,0
1922/8/1,0
1922/9/1,0
1922/10/1,0
1922/11/1,0
1922/12/1,0
1923/1/1,0
1923/2/1,0
1923/3/1,0
1923/4/1,0
1923/5/1,0
1923/6/1,1
1923/7/1,1
1923/8/1,1
1923/9/1,1
1923/10/1,1
1923/11/1,1
1923/12/1,1
1924/1/1,1
1924/2/1,1
1924/3/1,1
1924/4/1,1
1924/5/1,1
1924/6/1,1
1924/7/1,1
1924/8/1,0
1924/9/1,0
1924/10/1,0
1924/11/1,0
1924/12/1,0
1925/1/1,0
1925/2/1,0
1925/3/1,0
1925/4/1,0
1925/5/1,0
1925/6/1,0
1925/7/1,0
1925/8/1,0
1925/9/1,0
1925/10/1,0
1925/11/1,0
1925/12/1,0
1926/1/1,0
1926/2/1,0
1926/3/1,0
1926/4/1,0
1926/5/1,0
1926/6/1,0
1926/7/1,0
1926/8/1,0
1926/9/1,0
1926/10/1,0
1926/11/1,1
1926/12/1,1
1927/1/1,1
1927/2/1,1
1927/3/1,1
1927/4/1,1
1927/5/1,1
1927/6/1,1
1927/7/1,1
1927/8/1,1
1927/9/1,1
1927/10/1,1
1927/11/1,1
1927/12/1,0
1928/1/1,0
1928/2/1,0
1928/3/1,0
1928/4/1,0
1928/5/1,0
1928/6/1,0
1928/7/1,0
1928/8/1,0
1928/9/1,0
1928/10/1,0
1928/11/1,0
1928/12/1,0
1929/1/1,0
1929/2/1,0
1929/3/1,0
1929/4/1,0
1929/5/1,0
1929/6/1,0
1929/7/1,0
1929/8/1,0
1929/9/1,1
1929/10/1,1
1929/11/1,1
1929/12/1,1
1930/1/1,1
1930/2/1,1
1930/3/1,1
1930/4/1,1
1930/5/1,1
1930/6/1,1
1930/7/1,1
1930/8/1,1
1930/9/1,1
1930/10/1,1
1930/11/1,1
1930/12/1,1
1931/1/1,1
1931/2/1,1
1931/3/1,1
1931/4/1,1
1931/5/1,1
1931/6/1,1
1931/7/1,1
1931/8/1,1
1931/9/1,1
1931/10/1,1
1931/11/1,1
1931/12/1,1
1932/1/1,1
1932/2/1,1
1932/3/1,1
1932/4/1,1
1932/5/1,1
1932/6/1,1
1932/7/1,1
1932/8/1,1
1932/9/1,1
1932/10/1,1
1932/11/1,1
1932/12/1,1
1933/1/1,1
1933/2/1,1
1933/3/1,1
1933/4/1,0
1933/5/1,0
1933/6/1,0
1933/7/1,0
1933/8/1,0
1933/9/1,0
1933/10/1,0
1933/11/1,0
1933/12/1,0
1934/1/1,0
1934/2/1,0
1934/3/1,0
1934/4/1,0
1934/5/1,0
1934/6/1,0
1934/7/1,0
1934/8/1,0
1934/9/1,0
1934/10/1,0
1934/11/1,0
1934/12/1,0
1935/1/1,0
1935/2/1,0
1935/3/1,0
1935/4/1,0
1935/5/1,0
1935/6/1,0
1935/7/1,0
1935/8/1,0
1935/9/1,0
1935/10/1,0
1935/11/1,0
1935/12/1,0
1936/1/1,0
1936/2/1,0
1936/3/1,0
1936/4/1,0
1936/5/1,0
1936/6/1,0
1936/7/1,0
1936/8/1,0
1936/9/1,0
1936/10/1,0
1936/11/1,0
1936/12/1,0
1937/1/1,0
1937/2/1,0
1937/3/1,0
1937/4/1,0
1937/5/1,0
1937/6/1,1
1937/7/1,1
1937/8/1,1
1937/9/1,1
1937/10/1,1
1937/11/1,1
1937/12/1,1
1938/1/1,1
1938/2/1,1
1938/3/1,1
1938/4/1,1
1938/5/1,1
1938/6/1,1
1938/7/1,0
1938/8/1,0
1938/9/1,0
1938/10/1,0
1938/11/1,0
1938/12/1,0
1939/1/1,0
1939/2/1,0
1939/3/1,0
1939/4/1,0
1939/5/1,0
1939/6/1,0
1939/7/1,0
1939/8/1,0
1939/9/1,0
1939/10/1,0
1939/11/1,0
1939/12/1,0
1940/1/1,0
1940/2/1,0
1940/3/1,0
1940/4/1,0
1940/5/1,0
1940/6/1,0
1940/7/1,0
1940/8/1,0
1940/9/1,0
1940/10/1,0
1940/11/1,0
1940/12/1,0
1941/1/1,0
1941/2/1,0
1941/3/1,0
1941/4/1,0
1941/5/1,0
1941/6/1,0
1941/7/1,0
1941/8/1,0
1941/9/1,0
1941/10/1,0
1941/11/1,0
1941/12/1,0
1942/1/1,0
1942/2/1,0
1942/3/1,0
1942/4/1,0
1942/5/1,0
1942/6/1,0
1942/7/1,0
1942/8/1,0
1942/9/1,0
1942/10/1,0
1942/11/1,0
1942/12/1,0
1943/1/1,0
1943/2/1,0
1943/3/1,0
1943/4/1,0
1943/5/1,0
1943/6/1,0
1943/7/1,0
1943/8/1,0
1943/9/1,0
1943/10/1,0
1943/11/1,0
1943/12/1,0
1944/1/1,0
1944/2/1,0
1944/3/1,0
1944/4/1,0
1944/5/1,0
1944/6/1,0
1944/7/1,0
1944/8/1,0
1944/9/1,0
1944/10/1,0
1944/11/1,0
1944/12/1,0
1945/1/1,0
1945/2/1,0
1945/3/1,1
1945/4/1,1
1945/5/1,1
1945/6/1,1
1945/7/1,1
1945/8/1,1
1945/9/1,1
1945/10/1,1
1945/11/1,0
1945/12/1,0
1946/1/1,0
1946/2/1,0
1946/3/1,0
1946/4/1,0
1946/5/1,0
1946/6/1,0
1946/7/1,0
1946/8/1,0
1946/9/1,0
1946/10/1,0
1946/11/1,0
1946/12/1,0
1947/1/1,0
1947/2/1,0
1947/3/1,0
1947/4/1,0
1947/5/1,0
1947/6/1,0
1947/7/1,0
1947/8/1,0
1947/9/1,0
1947/10/1,0
1947/11/1,0
1947/12/1,0
1948/1/1,0
1948/2/1,0
1948/3/1,0
1948/4/1,0
1948/5/1,0
1948/6/1,0
1948/7/1,0
1948/8/1,0
1948/9/1,0
1948/10/1,0
1948/11/1,0
1948/12/1,1
1949/1/1,1
1949/2/1,1
1949/3/1,1
1949/4/1,1
1949/5/1,1
1949/6/1,1
1949/7/1,1
1949/8/1,1
1949/9/1,1
1949/10/1,1
1949/11/1,0
1949/12/1,0
1950/1/1,0
1950/2/1,0
1950/3/1,0
1950/4/1,0
1950/5/1,0
1950/6/1,0
1950/7/1,0
1950/8/1,0
1950/9/1,0
1950/10/1,0
1950/11/1,0
1950/12/1,0
1951/1/1,0
1951/2/1,0
1951/3/1,0
1951/4/1,0
1951/5/1,0
1951/6/1,0
1951/7/1,0
1951/8/1,0
1951/9/1,0
1951/10/1,0
1951/11/1,0
1951/12/1,0
1952/1/1,0
1952/2/1,0
1952/3/1,0
1952/4/1,0
1952/5/1,0
1952/6/1,0
1952/7/1,0
1952/8/1,0
1952/9/1,0
1952/10/1,0
1952/11/1,0
1952/12/1,0
1953/1/1,0
1953/2/1,0
1953/3/1,0
1953/4/1,0
1953/5/1,0
1953/6/1,0
1953/7/1,0
1953/8/1,1
1953/9/1,1
1953/10/1,1
1953/11/1,1
1953/12/1,1
1954/1/1,1
1954/2/1,1
1954/3/1,1
1954/4/1,1
1954/5/1,1
1954/6/1,0
1954/7/1,0
1954/8/1,0
1954/9/1,0
1954/10/1,0
1954/11/1,0
1954/12/1,0
1955/1/1,0
1955/2/1,0
1955/3/1,0
1955/4/1,0
1955/5/1,0
1955/6/1,0
1955/7/1,0
1955/8/1,0
1955/9/1,0
1955/10/1,0
1955/11/1,0
1955/12/1,0
1956/1/1,0
1956/2/1,0
1956/3/1,0
1956/4/1,0
1956/5/1,0
1956/6/1,0
1956/7/1,0
1956/8/1,0
1956/9/1,0
1956/10/1,0
1956/11/1,0
1956/12/1,0
1957/1/1,0
1957/2/1,0
1957/3/1,0
1957/4/1,0
1957/5/1,0
1957/6/1,0
1957/7/1,0
1957/8/1,0
1957/9/1,1
1957/10/1,1
1957/11/1,1
1957/12/1,1
1958/1/1,1
1958/2/1,1
1958/3/1,1
1958/4/1,1
1958/5/1,0
1958/6/1,0
1958/7/1,0
1958/8/1,0
1958/9/1,0
1958/10/1,0
1958/11/1,0
1958/12/1,0
1959/1/1,0
1959/2/1,0
1959/3/1,0
1959/4/1,0
1959/5/1,0
1959/6/1,0
1959/7/1,0
1959/8/1,0
1959/9/1,0
1959/10/1,0
1959/11/1,0
1959/12/1,0
1960/1/1,0
1960/2/1,0
1960/3/1,0
1960/4/1,0
1960/5/1,1
1960/6/1,1
1960/7/1,1
1960/8/1,1
1960/9/1,1
1960/10/1,1
1960/11/1,1
1960/12/1,1
1961/1/1,1
1961/2/1,1
1961/3/1,0
1961/4/1,0
1961/5/1,0
1961/6/1,0
1961/7/1,0
1961/8/1,0
1961/9/1,0
1961/10/1,0
1961/11/1,0
1961/12/1,0
1962/1/1,0
1962/2/1,0
1962/3/1,0
1962/4/1,0
1962/5/1,0
1962/6/1,0
1962/7/1,0
1962/8/1,0
1962/9/1,0
1962/10/1,0
1962/11/1,0
1962/12/1,0
1963/1/1,0
1963/2/1,0
1963/3/1,0
1963/4/1,0
1963/5/1,0
1963/6/1,0
1963/7/1,0
1963/8/1,0
1963/9/1,0
1963/10/1,0
1963/11/1,0
1963/12/1,0
1964/1/1,0
1964/2/1,0
1964/3/1,0
1964/4/1,0
1964/5/1,0
1964/6/1,0
1964/7/1,0
1964/8/1,0
1964/9/1,0
1964/10/1,0
1964/11/1,0
1964/12/1,0
1965/1/1,0
1965/2/1,0
1965/3/1,0
1965/4/1,0
1965/5/1,0
1965/6/1,0
1965/7/1,0
1965/8/1,0
1965/9/1,0
1965/10/1,0
1965/11/1,0
1965/12/1,0
1966/1/1,0
1966/2/1,0
1966/3/1,0
1966/4/1,0
1966/5/1,0
1966/6/1,0
1966/7/1,0
1966/8/1,0
1966/9/1,0
1966/10/1,0
1966/11/1,0
1966/12/1,0
1967/1/1,0
1967/2/1,0
1967/3/1,0
1967/4/1,0
1967/5/1,0
1967/6/1,0
1967/7/1,0
1967/8/1,0
1967/9/1,0
1967/10/1,0
1967/11/1,0
1967/12/1,0
1968/1/1,0
1968/2/1,0
1968/3/1,0
1968/4/1,0
1968/5/1,0
1968/6/1,0
1968/7/1,0
1968/8/1,0
1968/9/1,0
1968/10/1,0
1968/11/1,0
1968/12/1,0
1969/1/1,0
1969/2/1,0
1969/3/1,0
1969/4/1,0
1969/5/1,0
1969/6/1,0
1969/7/1,0
1969/8/1,0
1969/9/1,0
1969/10/1,0
1969/11/1,0
1969/12/1,0
1970/1/1,1
1970/2/1,1
1970/3/1,1
1970/4/1,1
1970/5/1,1
1970/6/1,1
1970/7/1,1
1970/8/1,1
1970/9/1,1
1970/10/1,1
1970/11/1,1
1970/12/1,0
1971/1/1,0
1971/2/1,0
1971/3/1,0
1971/4/1,0
1971/5/1,0
1971/6/1,0
1971/7/1,0
1971/8/1,0
1971/9/1,0
1971/10/1,0
1971/11/1,0
1971/12/1,0
1972/1/1,0
1972/2/1,0
1972/3/1,0
1972/4/1,0
1972/5/1,0
1972/6/1,0
1972/7/1,0
1972/8/1,0
1972/9/1,0
1972/10/1,0
1972/11/1,0
1972/12/1,0
1973/1/1,0
1973/2/1,0
1973/3/1,0
1973/4/1,0
1973/5/1,0
1973/6/1,0
1973/7/1,0
1973/8/1,0
1973/9/1,0
1973/10/1,0
1973/11/1,0
1973/12/1,1
1974/1/1,1
1974/2/1,1
1974/3/1,1
1974/4/1,1
1974/5/1,1
1974/6/1,1
1974/7/1,1
1974/8/1,1
1974/9/1,1
1974/10/1,1
1974/11/1,1
1974/12/1,1
1975/1/1,1
1975/2/1,1
1975/3/1,1
1975/4/1,0
1975/5/1,0
1975/6/1,0
1975/7/1,0
1975/8/1,0
1975/9/1,0
1975/10/1,0
1975/11/1,0
1975/12/1,0
1976/1/1,0
1976/2/1,0
1976/3/1,0
1976/4/1,0
1976/5/1,0
1976/6/1,0
1976/7/1,0
1976/8/1,0
1976/9/1,0
1976/10/1,0
1976/11/1,0
1976/12/1,0
1977/1/1,0
1977/2/1,0
1977/3/1,0
1977/4/1,0
1977/5/1,0
1977/6/1,0
1977/7/1,0
1977/8/1,0
1977/9/1,0
1977/10/1,0
1977/11/1,0
1977/12/1,0
1978/1/1,0
1978/2/1,0
1978/3/1,0
1978/4/1,0
1978/5/1,0
1978/6/1,0
1978/7/1,0
1978/8/1,0
1978/9/1,0
1978/10/1,0
1978/11/1,0
1978/12/1,0
1979/1/1,0
1979/2/1,0
1979/3/1,0
1979/4/1,0
1979/5/1,0
1979/6/1,0
1979/7/1,0
1979/8/1,0
1979/9/1,0
1979/10/1,0
1979/11/1,0
1979/12/1,0
1980/1/1,0
1980/2/1,1
1980/3/1,1
1980/4/1,1
1980/5/1,1
1980/6/1,1
1980/7/1,1
1980/8/1,1
1980/9/1,0
1980/10/1,0
1980/11/1,0
1980/12/1,0
1981/1/1,0
1981/2/1,0
1981/3/1,0
1981/4/1,0
1981/5/1,0
1981/6/1,0
1981/7/1,0
1981/8/1,1
1981/9/1,1
1981/10/1,1
1981/11/1,1
1981/12/1,1
1982/1/1,1
1982/2/1,1
1982/3/1,1
1982/4/1,1
1982/5/1,1
1982/6/1,1
1982/7/1,1
1982/8/1,1
1982/9/1,1
1982/10/1,0
1982/11/1,0
1982/12/1,0
1983/1/1,0
1983/2/1,0
1983/3/1,0
1983/4/1,0
1983/5/1,0
1983/6/1,0
1983/7/1,0
1983/8/1,0
1983/9/1,0
1983/10/1,0
1983/11/1,0
1983/12/1,0
1984/1/1,0
1984/2/1,0
1984/3/1,0
1984/4/1,0
